
Red,Green,Blue,Alpha
0,0,0,255
1,7,0,255
4,23,0,255
7,43,0,255
10,61,0,255
14,76,0,255
18,88,0,255
22,97,0,255
27,104,0,255
31,109,0,255
35,113,0,255
40,116,0,255
45,119,0,255
49,121,0,255
54,123,0,255
58,125,0,255
63,126,0,255
67,127,0,255
72,128,0,255
76,129,0,255
81,129,0,255
85,130,0,255
89,130,0,255
94,130,0,255
98,130,0,255
102,130,0,255
106,130,0,255
110,130,0,255
113,130,0,255
117,129,0,255
121,129,0,255
125,129,0,255
128,128,0,255
132,128,0,255
135,127,0,255
138,126,0,255
141,126,0,255
145,125,0,255
148,124,0,255
151,124,0,255
154,123,0,255
157,122,0,255
159,121,0,255
162,121,0,255
165,120,0,255
167,119,0,255
170,118,0,255
172,117,0,255
175,116,0,255
177,115,0,255
179,115,0,255
181,114,0,255
183,113,0,255
186,112,0,255
188,111,0,255
190,110,0,255
191,109,0,255
193,109,0,255
195,108,0,255
197,107,0,255
199,106,0,255
200,105,0,255
202,104,0,255
203,103,0,255
205,102,0,255
206,102,0,255
208,101,0,255
209,100,0,255
211,99,0,255
212,98,0,255
213,97,0,255
215,96,0,255
216,96,0,255
217,95,0,255
218,94,0,255
219,93,0,255
220,92,0,255
221,91,0,255
222,90,0,255
223,89,0,255
224,89,0,255
225,88,0,255
226,87,0,255
227,86,0,255
228,85,0,255
229,84,0,255
229,83,0,255
230,82,0,255
231,81,0,255
232,80,0,255
232,79,0,255
233,78,0,255
234,77,0,255
234,76,0,255
235,75,0,255
236,74,0,255
236,73,0,255
237,71,0,255
237,70,0,255
238,69,0,255
238,68,0,255
239,67,0,255
239,66,0,255
240,65,0,255
240,64,0,255
241,62,0,255
241,61,0,255
242,60,0,255
242,59,0,255
242,58,0,255
243,56,0,255
243,55,0,255
243,54,0,255
244,53,0,255
244,52,0,255
245,51,0,255
245,50,0,255
245,48,0,255
245,47,0,255
246,46,0,255
246,45,0,255
246,44,0,255
247,43,0,255
247,42,0,255
247,41,0,255
247,40,0,255
248,39,0,255
248,38,0,255
248,37,0,255
248,36,0,255
248,35,0,255
249,34,0,255
249,33,0,255
249,32,0,255
249,31,0,255
249,30,0,255
250,29,0,255
250,29,0,255
250,28,0,255
250,27,0,255
250,26,0,255
250,25,0,255
250,25,0,255
251,24,0,255
251,23,0,255
251,23,0,255
251,22,0,255
251,21,0,255
251,21,0,255
251,20,0,255
251,19,0,255
252,19,0,255
252,18,0,255
252,18,0,255
252,17,0,255
252,16,0,255
252,16,0,255
252,15,0,255
252,15,0,255
252,15,0,255
252,14,0,255
252,14,0,255
253,13,0,255
253,13,0,255
253,12,0,255
253,12,0,255
253,12,0,255
253,11,0,255
253,11,0,255
253,10,0,255
253,10,0,255
253,10,0,255
253,9,0,255
253,9,0,255
253,9,0,255
253,9,0,255
253,8,0,255
253,8,0,255
254,8,0,255
254,7,0,255
254,7,0,255
254,7,0,255
254,7,0,255
254,6,0,255
254,6,0,255
254,6,0,255
254,6,0,255
254,6,0,255
254,5,0,255
254,5,0,255
254,5,0,255
254,5,0,255
254,5,0,255
254,5,0,255
254,4,0,255
254,4,0,255
254,4,0,255
254,4,0,255
254,4,0,255
254,4,0,255
254,4,0,255
254,3,0,255
254,3,0,255
254,3,0,255
254,3,0,255
254,3,0,255
254,3,0,255
254,3,0,255
254,3,0,255
254,3,0,255
254,2,0,255
254,2,0,255
254,2,0,255
255,2,0,255
255,2,0,255
255,2,0,255
255,2,0,255
255,2,0,255
255,2,0,255
255,2,0,255
255,2,0,255
255,2,0,255
255,2,0,255
255,2,0,255
255,2,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
255,1,0,255
